Hours Studied;Previous Scores;Extracurricular Activities;Sleep Hours;Sample Question Papers Practiced;Performance Index
7;99;Yes;9;1;91.00.00
4;82;No;4;2;65.00.00
8;51;Yes;7;2;45.00.00
5;52;Yes;5;2;36.00.00
7;75;No;8;5;66.00.00
3;78;No;9;6;61.00.00
7;73;Yes;5;6;63.00.00
8;45;Yes;4;6;42.00.00
5;77;No;8;2;61.00.00
4;89;No;4;0;69.00.00
8;91;No;4;5;84.00.00
8;79;No;6;2;73.00.00
3;47;No;9;2;27.00.00
6;47;No;4;2;33.00.00
5;79;No;7;8;68.00.00
2;72;No;4;3;43.00.00
8;73;Yes;8;4;67.00.00
6;83;Yes;7;2;70.00.00
2;54;Yes;4;9;30.00.00
5;75;No;7;0;63.00.00
1;99;Yes;4;3;71.00.00
6;96;No;9;0;85.00.00
9;74;Yes;7;6;73.00.00
1;85;No;5;6;57.00.00
3;61;No;6;3;35.00.00
7;62;Yes;7;4;49.00.00
4;79;No;8;9;66.00.00
9;84;Yes;6;6;83.00.00
3;94;Yes;6;5;74.00.00
5;90;Yes;4;3;74.00.00
3;61;Yes;7;3;39.00.00
7;44;Yes;9;1;36.00.00
5;70;Yes;6;9;58.00.00
9;52;Yes;8;1;47.00.00
7;67;Yes;9;3;60.00.00
2;97;Yes;9;4;74.00.00
4;59;No;8;3;42.00.00
9;72;No;8;2;68.00.00
2;55;Yes;4;1;32.00.00
9;68;No;5;3;64.00.00
5;62;No;7;4;45.00.00
2;63;Yes;6;0;39.00.00
4;73;Yes;7;0;58.00.00
7;46;No;9;5;36.00.00
8;77;Yes;6;4;71.00.00
3;76;Yes;4;3;54.00.00
1;43;Yes;7;0;17.00
4;73;No;4;6;54.00.00
2;81;Yes;4;3;58.00.00
8;61;No;7;2;53.00.00
4;44;Yes;7;6;27.00.00
2;89;Yes;6;1;65.00.00
6;81;No;9;9;75.00.00
6;62;Yes;9;0;52.00.00
4;93;No;8;3;78.00.00
6;99;No;4;7;91.00.00
2;54;Yes;9;5;33.00.00
2;70;Yes;5;8;47.00.00
4;98;No;6;0;78.00.00
8;48;No;6;0;38.00.00
7;82;Yes;8;4;70.00.00
9;97;Yes;8;5;98.00.00
8;92;Yes;4;7;87.00.00
5;64;Yes;6;2;49.00.00
2;64;Yes;6;5;41.00.00
5;88;No;5;2;71.00.00
8;60;No;4;7;54.00.00
9;48;No;4;3;42.00.00
9;94;No;9;1;91.00.00
1;87;Yes;8;8;61.00.00
9;77;No;9;9;74.00.00
7;61;Yes;4;7;54.00.00
9;82;Yes;5;5;81.00.00
8;62;Yes;4;2;52.00.00
1;88;Yes;9;1;65.00.00
8;43;Yes;7;3;36.00.00
8;68;No;7;3;61.00.00
3;54;Yes;5;0;35.00.00
1;40;Yes;8;8;15.00
8;93;Yes;6;9;88.00.00
3;69;No;4;7;45.00.00
3;68;Yes;9;6;49.00.00
1;59;Yes;8;5;33.00.00
5;72;Yes;9;2;60.00.00
7;80;No;8;3;71.00.00
9;83;Yes;4;1;81.00.00
7;75;No;6;6;67.00.00
9;99;No;4;1;95.00.00
8;61;Yes;6;9;58.00.00
2;52;No;9;0;29.00.00
1;46;No;5;5;21.00
7;47;Yes;6;3;38.00.00
7;67;Yes;8;7;60.00.00
8;84;Yes;5;0;76.00.00
5;82;Yes;9;8;69.00.00
3;48;No;7;5;30.00.00
8;64;No;5;1;57.00.00
6;95;Yes;6;7;81.00.00
3;55;Yes;5;4;36.00.00
1;49;Yes;9;4;25.00.00
3;50;No;5;4;27.00.00
5;70;Yes;9;6;61.00.00
3;51;No;7;6;34.00.00
1;99;No;6;9;76.00.00
5;70;No;8;6;57.00.00
7;53;No;5;9;45.00.00
7;90;Yes;4;1;76.00.00
9;83;Yes;8;7;83.00.00
3;71;Yes;5;0;50.00.00
7;89;No;8;1;81.00.00
1;92;No;4;6;66.00.00
4;56;Yes;8;3;38.00.00
4;74;No;8;9;56.00.00
5;40;No;4;9;25.00.00
7;68;No;4;8;56.00.00
7;90;Yes;4;8;82.00.00
4;43;Yes;7;2;23.00
7;62;Yes;9;2;56.00.00
3;67;No;9;8;46.00.00
6;55;Yes;4;9;43.00.00
2;51;Yes;9;7;30.00.00
9;92;Yes;8;0;92.00.00
5;60;No;4;5;45.00.00
6;84;No;5;6;70.00.00
4;56;No;4;7;36.00.00
7;79;No;4;1;71.00.00
9;52;No;9;0;49.00.00
7;91;Yes;6;3;82.00.00
1;97;Yes;8;0;71.00.00
1;71;No;9;1;43.00.00
9;76;No;8;2;77.00.00
9;89;Yes;5;3;86.00.00
4;54;No;7;5;34.00.00
9;51;No;6;7;49.00.00
3;88;No;5;8;69.00.00
7;96;No;5;3;84.00.00
6;54;No;8;0;41.00.00
8;73;Yes;6;4;68.00.00
9;45;Yes;8;4;44.00.00
5;56;No;7;8;41.00.00
1;87;No;8;5;58.00.00
3;88;Yes;4;4;68.00.00
8;96;No;8;9;94.00.00
6;59;Yes;4;9;47.00.00
8;48;No;5;4;40.00.00
9;98;Yes;7;7;100.00.00
4;44;Yes;9;0;23.00
1;62;No;4;4;36.00.00
1;72;No;7;0;47.00.00
4;77;Yes;8;6;60.00.00
7;95;No;9;6;83.00.00
2;53;Yes;8;9;33.00.00
3;56;No;5;7;36.00.00
1;96;No;8;6;74.00.00
5;58;No;4;8;42.00.00
1;72;Yes;5;7;47.00.00
8;40;Yes;7;7;31.00.00
1;52;No;5;2;26.00.00
1;85;Yes;7;9;58.00.00
2;66;No;6;3;42.00.00
2;45;Yes;4;3;18.00
6;98;No;4;0;85.00.00
7;45;Yes;7;5;36.00.00
5;72;Yes;8;1;58.00.00
1;69;Yes;9;8;45.00.00
1;85;Yes;8;0;60.00.00
3;74;Yes;6;0;56.00.00
2;62;Yes;7;9;42.00.00
5;49;No;6;5;33.00.00
6;90;No;7;0;77.00.00
7;58;Yes;6;2;51.00.00
4;90;No;7;9;72.00.00
7;67;Yes;4;1;57.00.00
8;62;No;6;8;53.00.00
1;43;No;6;4;16.00
6;59;No;7;5;45.00.00
8;58;No;5;1;49.00.00
5;81;Yes;5;7;67.00.00
4;66;No;4;5;49.00.00
2;96;No;8;7;73.00.00
6;73;No;8;7;65.00.00
6;43;Yes;4;0;27.00.00
1;95;No;8;6;72.00.00
9;77;Yes;9;1;74.00.00
6;46;Yes;9;7;38.00.00
3;87;No;9;1;67.00.00
4;46;Yes;9;3;28.00.00
4;89;No;7;1;73.00.00
3;91;No;5;6;72.00.00
3;65;No;4;4;42.00.00
3;65;No;7;8;47.00.00
4;93;No;9;4;77.00.00
7;58;No;4;7;49.00.00
4;48;No;5;1;30.00.00
9;59;Yes;8;2;54.00.00
1;81;Yes;7;5;56.00.00
8;84;No;5;6;75.00.00
7;89;No;4;9;78.00.00
2;55;Yes;6;7;32.00.00
8;93;No;7;2;89.00.00
1;56;Yes;4;6;29.00.00
9;61;Yes;4;7;57.00.00
9;52;No;5;9;48.00.00
2;51;No;4;5;27.00.00
7;49;Yes;7;3;38.00.00
3;40;Yes;9;5;18.00
7;71;No;7;8;66.00.00
9;69;No;4;2;65.00.00
4;47;Yes;5;1;27.00.00
1;60;Yes;7;4;33.00.00
2;61;Yes;6;6;37.00.00
1;57;No;9;2;29.00.00
5;41;No;8;4;26.00.00
5;87;No;5;3;72.00.00
7;83;Yes;5;6;77.00.00
9;48;Yes;8;1;45.00.00
9;42;No;8;6;41.00.00
3;93;Yes;7;1;73.00.00
3;65;Yes;4;2;43.00.00
3;60;Yes;4;4;39.00.00
4;69;Yes;6;6;54.00.00
8;67;Yes;9;5;62.00.00
6;75;No;4;6;63.00.00
8;65;No;6;5;59.00.00
1;73;No;6;0;46.00.00
8;47;No;5;4;42.00.00
4;49;No;5;0;30.00.00
1;87;Yes;9;6;63.00.00
8;94;Yes;7;3;89.00.00
4;82;Yes;8;4;62.00.00
6;89;No;8;0;77.00.00
8;93;Yes;9;7;88.00.00
4;53;Yes;6;3;35.00.00
3;79;Yes;9;2;60.00.00
9;94;No;8;0;92.00.00
3;54;Yes;6;3;38.00.00
9;56;Yes;8;2;56.00.00
2;92;No;7;7;70.00.00
2;57;No;5;8;35.00.00
2;71;Yes;5;4;47.00.00
6;77;No;6;8;66.00.00
3;62;Yes;9;0;43.00.00
9;85;No;8;6;81.00.00
4;62;Yes;4;6;43.00.00
1;74;Yes;7;5;46.00.00
4;78;No;8;3;61.00.00
1;54;No;4;8;27.00.00
5;92;No;7;2;77.00.00
4;63;No;7;0;43.00.00
8;67;Yes;5;1;60.00.00
8;55;No;6;2;48.00.00
7;55;Yes;8;1;47.00.00
3;79;Yes;7;5;60.00.00
1;78;Yes;8;6;53.00.00
1;45;No;7;4;19.00
3;41;Yes;9;4;23.00
6;93;Yes;5;6;81.00.00
7;52;No;6;5;41.00.00
